Date,Open,High,Low,Close,Adj Close,Volume,stock
1993-01-29,43.96875,43.96875,43.75,43.9375,25.122339,1003200,SPY.csv
1993-02-01,43.96875,44.25,43.96875,44.25,25.301025,480500,SPY.csv
1993-02-02,44.21875,44.375,44.125,44.34375,25.354631,201300,SPY.csv
1993-02-03,44.40625,44.84375,44.375,44.8125,25.622652,529400,SPY.csv
1993-02-04,44.96875,45.09375,44.46875,45.0,25.729862,531500,SPY.csv
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.711988,492100,SPY.csv
1993-02-08,44.96875,45.125,44.90625,44.96875,25.711988,596100,SPY.csv
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.533306,122100,SPY.csv
1993-02-10,44.65625,44.75,44.53125,44.71875,25.569052,379600,SPY.csv
1993-02-11,44.78125,45.125,44.78125,44.9375,25.694126,19500,SPY.csv
1993-02-12,44.875,44.875,44.59375,44.59375,25.497572,42500,SPY.csv
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.854324,374800,SPY.csv
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.836449,210900,SPY.csv
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.818592,378100,SPY.csv
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.907927,34900,SPY.csv
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.997263,513600,SPY.csv
1993-02-23,43.84375,43.875,43.46875,43.6875,24.979408,373700,SPY.csv
1993-02-24,43.71875,44.25,43.71875,44.25,25.301025,26300,SPY.csv
1993-02-25,44.21875,44.375,44.125,44.34375,25.354631,44500,SPY.csv
1993-02-26,44.4375,44.4375,44.1875,44.40625,25.390369,66200,SPY.csv
1993-03-01,44.5625,44.5625,44.21875,44.28125,25.31889,66500,SPY.csv
1993-03-02,44.3125,44.9375,44.25,44.9375,25.694126,182400,SPY.csv
1993-03-03,45.0,45.15625,44.9375,45.125,25.801323,280100,SPY.csv
1993-03-04,45.1875,45.1875,44.875,44.875,25.658382,89500,SPY.csv
1993-03-05,44.9375,45.125,44.71875,44.75,25.586916,40000,SPY.csv
1993-03-08,44.84375,45.75,44.84375,45.75,26.158686,50800,SPY.csv
1993-03-09,45.65625,45.6875,45.5,45.59375,26.069342,169300,SPY.csv
1993-03-10,45.59375,45.6875,45.40625,45.6875,26.122957,194400,SPY.csv
1993-03-11,45.71875,45.84375,45.5,45.5625,26.051468,70900,SPY.csv
1993-03-12,45.1875,45.21875,44.8125,45.09375,25.783463,643600,SPY.csv
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.908558,310800,SPY.csv
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.908558,30800,SPY.csv
1993-03-17,45.25,45.25,44.96875,45.03125,25.747728,21800,SPY.csv
1993-03-18,45.21875,45.5,45.21875,45.3125,25.908558,59300,SPY.csv
1993-03-19,45.28125,45.28125,45.03125,45.03125,25.869324,66900,SPY.csv
1993-03-22,44.59375,44.875,44.5625,44.78125,25.725702,183400,SPY.csv
1993-03-23,44.90625,44.9375,44.8125,44.875,25.77956,55200,SPY.csv
1993-03-24,44.8125,45.0625,44.59375,44.875,25.77956,37200,SPY.csv
1993-03-25,44.90625,45.25,44.84375,45.15625,25.941137,110100,SPY.csv
1993-03-26,45.125,45.15625,44.875,44.90625,25.797525,101500,SPY.csv
1993-03-29,44.9375,45.3125,44.9375,45.09375,25.905237,87100,SPY.csv
1993-03-30,45.15625,45.21875,45.09375,45.21875,25.977043,56000,SPY.csv
1993-03-31,45.34375,45.46875,45.1875,45.1875,25.95908,111600,SPY.csv
1993-04-01,45.25,45.25,44.9375,45.03125,25.869324,129500,SPY.csv
1993-04-02,44.65625,44.65625,44.09375,44.09375,25.330759,59400,SPY.csv
1993-04-05,44.4375,44.4375,44.1875,44.3125,25.456421,172200,SPY.csv
1993-04-06,44.40625,44.40625,44.0625,44.1875,25.384619,129700,SPY.csv
1993-04-07,44.25,44.34375,44.15625,44.34375,25.474386,28000,SPY.csv
1993-04-08,44.53125,44.53125,44.09375,44.28125,25.438465,180800,SPY.csv
1993-04-12,44.71875,44.9375,44.65625,44.90625,25.797525,348500,SPY.csv
1993-04-13,44.875,45.15625,44.84375,45.0,25.851376,146100,SPY.csv
1993-04-14,45.03125,45.0625,44.90625,44.9375,25.815468,119600,SPY.csv
1993-04-15,44.90625,45.03125,44.75,44.9375,25.815468,148600,SPY.csv
1993-04-16,44.96875,45.03125,44.875,44.9375,25.815468,47900,SPY.csv
1993-04-19,44.9375,45.0625,44.71875,44.75,25.707756,157000,SPY.csv
1993-04-20,44.6875,44.75,44.25,44.53125,25.582087,279500,SPY.csv
1993-04-21,44.625,44.625,44.375,44.5,25.564135,67900,SPY.csv
1993-04-22,44.3125,44.6875,43.9375,43.9375,25.240995,97700,SPY.csv
1993-04-23,43.84375,43.96875,43.6875,43.75,25.13328,106000,SPY.csv
1993-04-26,43.78125,43.9375,43.28125,43.40625,24.935814,62600,SPY.csv
1993-04-27,43.34375,43.875,43.34375,43.875,25.205084,156800,SPY.csv
1993-04-28,43.8125,43.90625,43.71875,43.78125,25.151228,85900,SPY.csv
1993-04-29,43.875,43.96875,43.625,43.96875,25.258942,85000,SPY.csv
1993-04-30,44.125,44.28125,44.03125,44.03125,25.294851,88500,SPY.csv
