Date,Open,High,Low,Close,Adj Close,Volume,stock
1997-05-20,12.98,12.98,12.98,12.98,8.183894,0,SWPPX.csv
1997-05-21,12.95,12.95,12.95,12.95,8.164977,0,SWPPX.csv
1997-05-22,12.89,12.89,12.89,12.89,8.12715,0,SWPPX.csv
1997-05-23,13.06,13.06,13.06,13.06,8.234331,0,SWPPX.csv
1997-05-27,13.1,13.1,13.1,13.1,8.259554,0,SWPPX.csv
1997-05-28,13.07,13.07,13.07,13.07,8.24064,0,SWPPX.csv
1997-05-29,13.02,13.02,13.02,13.02,8.209112,0,SWPPX.csv
1997-05-30,13.09,13.09,13.09,13.09,8.253247,0,SWPPX.csv
1997-06-02,13.06,13.06,13.06,13.06,8.234331,0,SWPPX.csv
1997-06-03,13.05,13.05,13.05,13.05,8.228028,0,SWPPX.csv
1997-06-04,12.97,12.97,12.97,12.97,8.177591,0,SWPPX.csv
1997-06-05,13.02,13.02,13.02,13.02,8.209112,0,SWPPX.csv
1997-06-06,13.24,13.24,13.24,13.24,8.347823,0,SWPPX.csv
1997-06-09,13.32,13.32,13.32,13.32,8.398264,0,SWPPX.csv
1997-06-10,13.36,13.36,13.36,13.36,8.423483,0,SWPPX.csv
1997-06-11,13.42,13.42,13.42,13.42,8.461312,0,SWPPX.csv
1997-06-12,13.64,13.64,13.64,13.64,8.600023,0,SWPPX.csv
1997-06-13,13.79,13.79,13.79,13.79,8.694597,0,SWPPX.csv
1997-06-16,13.8,13.8,13.8,13.8,8.700903,0,SWPPX.csv
1997-06-17,13.81,13.81,13.81,13.81,8.707209,0,SWPPX.csv
1997-06-18,13.73,13.73,13.73,13.73,8.656768,0,SWPPX.csv
1997-06-19,13.87,13.87,13.87,13.87,8.745039,0,SWPPX.csv
1997-06-20,13.88,13.88,13.88,13.88,8.751344,0,SWPPX.csv
1997-06-23,13.57,13.57,13.57,13.57,8.55589,0,SWPPX.csv
1997-06-24,13.84,13.84,13.84,13.84,8.726123,0,SWPPX.csv
1997-06-25,13.73,13.73,13.73,13.73,8.656768,0,SWPPX.csv
1997-06-26,13.65,13.65,13.65,13.65,8.606328,0,SWPPX.csv
1997-06-27,13.7,13.7,13.7,13.7,8.637855,0,SWPPX.csv
1997-06-30,13.67,13.67,13.67,13.67,8.618938,0,SWPPX.csv
1997-07-01,13.76,13.76,13.76,13.76,8.675681,0,SWPPX.csv
1997-07-02,13.96,13.96,13.96,13.96,8.801783,0,SWPPX.csv
1997-07-03,14.16,14.16,14.16,14.16,8.927884,0,SWPPX.csv
1997-07-07,14.09,14.09,14.09,14.09,8.883748,0,SWPPX.csv
1997-07-08,14.19,14.19,14.19,14.19,8.946798,0,SWPPX.csv
1997-07-09,14.02,14.02,14.02,14.02,8.839614,0,SWPPX.csv
1997-07-10,14.12,14.12,14.12,14.12,8.902665,0,SWPPX.csv
1997-07-11,14.16,14.16,14.16,14.16,8.927884,0,SWPPX.csv
1997-07-14,14.19,14.19,14.19,14.19,8.946798,0,SWPPX.csv
1997-07-15,14.3,14.3,14.3,14.3,9.016154,0,SWPPX.csv
1997-07-16,14.47,14.47,14.47,14.47,9.12334,0,SWPPX.csv
1997-07-17,14.39,14.39,14.39,14.39,9.072896,0,SWPPX.csv
1997-07-18,14.14,14.14,14.14,14.14,8.915275,0,SWPPX.csv
1997-07-21,14.1,14.1,14.1,14.1,8.890054,0,SWPPX.csv
1997-07-22,14.43,14.43,14.43,14.43,9.098117,0,SWPPX.csv
1997-07-23,14.47,14.47,14.47,14.47,9.12334,0,SWPPX.csv
1997-07-24,14.53,14.53,14.53,14.53,9.161167,0,SWPPX.csv
1997-07-25,14.5,14.5,14.5,14.5,9.142254,0,SWPPX.csv
1997-07-28,14.5,14.5,14.5,14.5,9.142254,0,SWPPX.csv
1997-07-29,14.56,14.56,14.56,14.56,9.180084,0,SWPPX.csv
1997-07-30,14.71,14.71,14.71,14.71,9.274658,0,SWPPX.csv
1997-07-31,14.75,14.75,14.75,14.75,9.29988,0,SWPPX.csv
1997-08-01,14.64,14.64,14.64,14.64,9.230524,0,SWPPX.csv
1997-08-04,14.69,14.69,14.69,14.69,9.262048,0,SWPPX.csv
1997-08-05,14.72,14.72,14.72,14.72,9.280967,0,SWPPX.csv
1997-08-06,14.84,14.84,14.84,14.84,9.356621,0,SWPPX.csv
1997-08-07,14.7,14.7,14.7,14.7,9.268353,0,SWPPX.csv
1997-08-08,14.43,14.43,14.43,14.43,9.098117,0,SWPPX.csv
1997-08-11,14.49,14.49,14.49,14.49,9.135947,0,SWPPX.csv
1997-08-12,14.32,14.32,14.32,14.32,9.028765,0,SWPPX.csv
1997-08-13,14.26,14.26,14.26,14.26,8.990935,0,SWPPX.csv
1997-08-14,14.3,14.3,14.3,14.3,9.016154,0,SWPPX.csv
1997-08-15,13.93,13.93,13.93,13.93,8.782867,0,SWPPX.csv
1997-08-18,14.11,14.11,14.11,14.11,8.896358,0,SWPPX.csv
1997-08-19,14.32,14.32,14.32,14.32,9.028765,0,SWPPX.csv
1997-08-20,14.53,14.53,14.53,14.53,9.161167,0,SWPPX.csv
1997-08-21,14.31,14.31,14.31,14.31,9.02246,0,SWPPX.csv
1997-08-22,14.29,14.29,14.29,14.29,9.009849,0,SWPPX.csv
1997-08-25,14.23,14.23,14.23,14.23,8.972017,0,SWPPX.csv
1997-08-26,14.12,14.12,14.12,14.12,8.902665,0,SWPPX.csv
1997-08-27,14.13,14.13,14.13,14.13,8.90897,0,SWPPX.csv
1997-08-28,13.98,13.98,13.98,13.98,8.814393,0,SWPPX.csv
1997-08-29,13.92,13.92,13.92,13.92,8.776563,0,SWPPX.csv
1997-09-02,14.35,14.35,14.35,14.35,9.047679,0,SWPPX.csv
1997-09-03,14.36,14.36,14.36,14.36,9.053984,0,SWPPX.csv
1997-09-04,14.41,14.41,14.41,14.41,9.085508,0,SWPPX.csv
1997-09-05,14.38,14.38,14.38,14.38,9.066595,0,SWPPX.csv
1997-09-08,14.42,14.42,14.42,14.42,9.091816,0,SWPPX.csv
1997-09-09,14.45,14.45,14.45,14.45,9.110727,0,SWPPX.csv
1997-09-10,14.23,14.23,14.23,14.23,8.972017,0,SWPPX.csv
1997-09-11,14.13,14.13,14.13,14.13,8.90897,0,SWPPX.csv
1997-09-12,14.31,14.31,14.31,14.31,9.02246,0,SWPPX.csv
1997-09-15,14.24,14.24,14.24,14.24,8.978324,0,SWPPX.csv
1997-09-16,14.65,14.65,14.65,14.65,9.236829,0,SWPPX.csv
1997-09-17,14.61,14.61,14.61,14.61,9.211609,0,SWPPX.csv
1997-09-18,14.68,14.68,14.68,14.68,9.255741,0,SWPPX.csv
1997-09-19,14.73,14.73,14.73,14.73,9.287269,0,SWPPX.csv
1997-09-22,14.8,14.8,14.8,14.8,9.331403,0,SWPPX.csv
1997-09-23,14.75,14.75,14.75,14.75,9.29988,0,SWPPX.csv
1997-09-24,14.63,14.63,14.63,14.63,9.224218,0,SWPPX.csv
1997-09-25,14.53,14.53,14.53,14.53,9.161167,0,SWPPX.csv
1997-09-26,14.65,14.65,14.65,14.65,9.236829,0,SWPPX.csv
1997-09-29,14.77,14.77,14.77,14.77,9.31249,0,SWPPX.csv
1997-09-30,14.68,14.68,14.68,14.68,9.255741,0,SWPPX.csv
1997-10-01,14.81,14.81,14.81,14.81,9.33771,0,SWPPX.csv
1997-10-02,14.89,14.89,14.89,14.89,9.388149,0,SWPPX.csv
1997-10-03,14.96,14.96,14.96,14.96,9.432285,0,SWPPX.csv
1997-10-06,15.08,15.08,15.08,15.08,9.507947,0,SWPPX.csv
1997-10-07,15.24,15.24,15.24,15.24,9.608823,0,SWPPX.csv
1997-10-08,15.1,15.1,15.1,15.1,9.520553,0,SWPPX.csv
1997-10-09,15.05,15.05,15.05,15.05,9.489028,0,SWPPX.csv
1997-10-10,15.0,15.0,15.0,15.0,9.457504,0,SWPPX.csv
1997-10-13,15.01,15.01,15.01,15.01,9.46381,0,SWPPX.csv
1997-10-14,15.05,15.05,15.05,15.05,9.489028,0,SWPPX.csv
1997-10-15,14.98,14.98,14.98,14.98,9.444892,0,SWPPX.csv
1997-10-16,14.82,14.82,14.82,14.82,9.344011,0,SWPPX.csv
1997-10-17,14.64,14.64,14.64,14.64,9.230524,0,SWPPX.csv
1997-10-20,14.82,14.82,14.82,14.82,9.344011,0,SWPPX.csv
1997-10-21,15.08,15.08,15.08,15.08,9.507947,0,SWPPX.csv
1997-10-22,15.02,15.02,15.02,15.02,9.470116,0,SWPPX.csv
1997-10-23,14.75,14.75,14.75,14.75,9.29988,0,SWPPX.csv
1997-10-24,14.61,14.61,14.61,14.61,9.211609,0,SWPPX.csv
1997-10-27,13.61,13.61,13.61,13.61,8.581108,0,SWPPX.csv
1997-10-28,14.3,14.3,14.3,14.3,9.016154,0,SWPPX.csv
1997-10-29,14.26,14.26,14.26,14.26,8.990935,0,SWPPX.csv
1997-10-30,14.03,14.03,14.03,14.03,8.845919,0,SWPPX.csv
1997-10-31,14.19,14.19,14.19,14.19,8.946798,0,SWPPX.csv
1997-11-03,14.57,14.57,14.57,14.57,9.186387,0,SWPPX.csv
1997-11-04,14.6,14.6,14.6,14.6,9.205304,0,SWPPX.csv
1997-11-05,14.63,14.63,14.63,14.63,9.224218,0,SWPPX.csv
1997-11-06,14.56,14.56,14.56,14.56,9.180084,0,SWPPX.csv
1997-11-07,14.4,14.4,14.4,14.4,9.079202,0,SWPPX.csv
1997-11-10,14.3,14.3,14.3,14.3,9.016154,0,SWPPX.csv
1997-11-11,14.34,14.34,14.34,14.34,9.041378,0,SWPPX.csv
1997-11-12,14.07,14.07,14.07,14.07,8.871139,0,SWPPX.csv
1997-11-13,14.23,14.23,14.23,14.23,8.972017,0,SWPPX.csv
1997-11-14,14.42,14.42,14.42,14.42,9.091816,0,SWPPX.csv
1997-11-17,14.69,14.69,14.69,14.69,9.262048,0,SWPPX.csv
1997-11-18,14.57,14.57,14.57,14.57,9.186387,0,SWPPX.csv
1997-11-19,14.67,14.67,14.67,14.67,9.249437,0,SWPPX.csv
1997-11-20,14.89,14.89,14.89,14.89,9.388149,0,SWPPX.csv
1997-11-21,14.96,14.96,14.96,14.96,9.432285,0,SWPPX.csv
1997-11-24,14.7,14.7,14.7,14.7,9.268353,0,SWPPX.csv
1997-11-25,14.77,14.77,14.77,14.77,9.31249,0,SWPPX.csv
1997-11-26,14.78,14.78,14.78,14.78,9.318794,0,SWPPX.csv
1997-11-28,14.84,14.84,14.84,14.84,9.356621,0,SWPPX.csv
1997-12-01,15.14,15.14,15.14,15.14,9.545774,0,SWPPX.csv
1997-12-02,15.09,15.09,15.09,15.09,9.514248,0,SWPPX.csv
1997-12-03,15.18,15.18,15.18,15.18,9.570992,0,SWPPX.csv
1997-12-04,15.12,15.12,15.12,15.12,9.533165,0,SWPPX.csv
1997-12-05,15.29,15.29,15.29,15.29,9.640347,0,SWPPX.csv
1997-12-08,15.26,15.26,15.26,15.26,9.621434,0,SWPPX.csv
1997-12-09,15.16,15.16,15.16,15.16,9.558384,0,SWPPX.csv
1997-12-10,15.07,15.07,15.07,15.07,9.501639,0,SWPPX.csv
1997-12-11,14.85,14.85,14.85,14.85,9.362928,0,SWPPX.csv
1997-12-12,14.82,14.82,14.82,14.82,9.344011,0,SWPPX.csv
1997-12-15,14.98,14.98,14.98,14.98,9.444892,0,SWPPX.csv
1997-12-16,15.05,15.05,15.05,15.05,9.489028,0,SWPPX.csv
1997-12-17,15.01,15.01,15.01,15.01,9.46381,0,SWPPX.csv
1997-12-18,14.85,14.85,14.85,14.85,9.362928,0,SWPPX.csv
1997-12-19,14.72,14.72,14.72,14.72,9.280967,0,SWPPX.csv
1997-12-22,14.83,14.83,14.83,14.83,9.350318,0,SWPPX.csv
1997-12-23,14.6,14.6,14.6,14.6,9.205304,0,SWPPX.csv
1997-12-24,14.5,14.5,14.5,14.5,9.142254,0,SWPPX.csv
1997-12-26,14.42,14.42,14.42,14.42,9.18237,0,SWPPX.csv
1997-12-29,14.68,14.68,14.68,14.68,9.347933,0,SWPPX.csv
1997-12-30,14.95,14.95,14.95,14.95,9.519865,0,SWPPX.csv
1997-12-31,14.95,14.95,14.95,14.95,9.519865,0,SWPPX.csv
1998-01-02,15.02,15.02,15.02,15.02,9.56444,0,SWPPX.csv
1998-01-05,15.05,15.05,15.05,15.05,9.583543,0,SWPPX.csv
1998-01-06,14.89,14.89,14.89,14.89,9.481659,0,SWPPX.csv
1998-01-07,14.85,14.85,14.85,14.85,9.456187,0,SWPPX.csv
1998-01-08,14.73,14.73,14.73,14.73,9.379771,0,SWPPX.csv
1998-01-09,14.29,14.29,14.29,14.29,9.099588,0,SWPPX.csv
1998-01-12,14.47,14.47,14.47,14.47,9.21421,0,SWPPX.csv
1998-01-13,14.67,14.67,14.67,14.67,9.341564,0,SWPPX.csv
1998-01-14,14.76,14.76,14.76,14.76,9.398877,0,SWPPX.csv
1998-01-15,14.65,14.65,14.65,14.65,9.32883,0,SWPPX.csv
1998-01-16,14.82,14.82,14.82,14.82,9.437084,0,SWPPX.csv
1998-01-20,15.08,15.08,15.08,15.08,9.602647,0,SWPPX.csv
1998-01-21,14.96,14.96,14.96,14.96,9.526234,0,SWPPX.csv
1998-01-22,14.84,14.84,14.84,14.84,9.449818,0,SWPPX.csv
1998-01-23,14.76,14.76,14.76,14.76,9.398877,0,SWPPX.csv
1998-01-26,14.75,14.75,14.75,14.75,9.392509,0,SWPPX.csv
1998-01-27,14.93,14.93,14.93,14.93,9.50713,0,SWPPX.csv
1998-01-28,15.07,15.07,15.07,15.07,9.596278,0,SWPPX.csv
1998-01-29,15.19,15.19,15.19,15.19,9.672691,0,SWPPX.csv
1998-01-30,15.11,15.11,15.11,15.11,9.621751,0,SWPPX.csv
1998-02-02,15.43,15.43,15.43,15.43,9.825517,0,SWPPX.csv
1998-02-03,15.51,15.51,15.51,15.51,9.87646,0,SWPPX.csv
1998-02-04,15.52,15.52,15.52,15.52,9.882829,0,SWPPX.csv
1998-02-05,15.47,15.47,15.47,15.47,9.850989,0,SWPPX.csv
1998-02-06,15.61,15.61,15.61,15.61,9.940142,0,SWPPX.csv
1998-02-09,15.59,15.59,15.59,15.59,9.927404,0,SWPPX.csv
1998-02-10,15.72,15.72,15.72,15.72,10.010185,0,SWPPX.csv
1998-02-11,15.73,15.73,15.73,15.73,10.016552,0,SWPPX.csv
1998-02-12,15.8,15.8,15.8,15.8,10.061128,0,SWPPX.csv
1998-02-13,15.74,15.74,15.74,15.74,10.022921,0,SWPPX.csv
1998-02-17,15.78,15.78,15.78,15.78,10.048393,0,SWPPX.csv
1998-02-18,15.93,15.93,15.93,15.93,10.143909,0,SWPPX.csv
1998-02-19,15.87,15.87,15.87,15.87,10.105703,0,SWPPX.csv
1998-02-20,15.96,15.96,15.96,15.96,10.163013,0,SWPPX.csv
1998-02-23,16.02,16.02,16.02,16.02,10.201219,0,SWPPX.csv
1998-02-24,15.9,15.9,15.9,15.9,10.124806,0,SWPPX.csv
1998-02-25,16.1,16.1,16.1,16.1,10.252164,0,SWPPX.csv
1998-02-26,16.1,16.1,16.1,16.1,10.252164,0,SWPPX.csv
1998-02-27,16.200001,16.200001,16.200001,16.200001,10.31584,0,SWPPX.csv
1998-03-02,16.17,16.17,16.17,16.17,10.296736,0,SWPPX.csv
1998-03-03,16.24,16.24,16.24,16.24,10.341311,0,SWPPX.csv
1998-03-04,16.17,16.17,16.17,16.17,10.296736,0,SWPPX.csv
1998-03-05,15.98,15.98,15.98,15.98,10.175748,0,SWPPX.csv
1998-03-06,16.299999,16.299999,16.299999,16.299999,10.379517,0,SWPPX.csv
1998-03-09,16.25,16.25,16.25,16.25,10.34768,0,SWPPX.csv
1998-03-10,16.440001,16.440001,16.440001,16.440001,10.468666,0,SWPPX.csv
1998-03-11,16.5,16.5,16.5,16.5,10.506875,0,SWPPX.csv
1998-03-12,16.530001,16.530001,16.530001,16.530001,10.52598,0,SWPPX.csv
1998-03-13,16.51,16.51,16.51,16.51,10.513244,0,SWPPX.csv
1998-03-16,16.67,16.67,16.67,16.67,10.615125,0,SWPPX.csv
1998-03-17,16.690001,16.690001,16.690001,16.690001,10.627864,0,SWPPX.csv
1998-03-18,16.77,16.77,16.77,16.77,10.678802,0,SWPPX.csv
1998-03-19,16.84,16.84,16.84,16.84,10.723379,0,SWPPX.csv
1998-03-20,16.98,16.98,16.98,16.98,10.812527,0,SWPPX.csv
1998-03-23,16.92,16.92,16.92,16.92,10.774321,0,SWPPX.csv
1998-03-24,17.08,17.08,17.08,17.08,10.876206,0,SWPPX.csv
1998-03-25,17.02,17.02,17.02,17.02,10.837998,0,SWPPX.csv
1998-03-26,17.01,17.01,17.01,17.01,10.831633,0,SWPPX.csv
1998-03-27,16.93,16.93,16.93,16.93,10.780689,0,SWPPX.csv
1998-03-30,16.9,16.9,16.9,16.9,10.761587,0,SWPPX.csv
1998-03-31,17.02,17.02,17.02,17.02,10.837998,0,SWPPX.csv
1998-04-01,17.120001,17.120001,17.120001,17.120001,10.901679,0,SWPPX.csv
1998-04-02,17.309999,17.309999,17.309999,17.309999,11.022667,0,SWPPX.csv
1998-04-03,17.35,17.35,17.35,17.35,11.048138,0,SWPPX.csv
1998-04-06,17.33,17.33,17.33,17.33,11.0354,0,SWPPX.csv
1998-04-07,17.15,17.15,17.15,17.15,10.920781,0,SWPPX.csv
1998-04-08,17.030001,17.030001,17.030001,17.030001,10.844368,0,SWPPX.csv
1998-04-09,17.17,17.17,17.17,17.17,10.933518,0,SWPPX.csv
1998-04-13,17.15,17.15,17.15,17.15,10.920781,0,SWPPX.csv
1998-04-14,17.25,17.25,17.25,17.25,10.984458,0,SWPPX.csv
1998-04-15,17.299999,17.299999,17.299999,17.299999,11.016298,0,SWPPX.csv
1998-04-16,17.129999,17.129999,17.129999,17.129999,10.908042,0,SWPPX.csv
1998-04-17,17.35,17.35,17.35,17.35,11.048138,0,SWPPX.csv
